data_ID,study_ID,title,year,authors,reported,r,Order,Genus,Species,animal,N,Mean,Min,Max,SD,Long,Lat,Notes
11,11,"CONSERVATION TECHNIQUE OF THE GREEN TURTLE (Chelonia mydas L. 1758)        NESTS UNDER THE RISK OF TIDAL INUNDATION WITH HATCHERIES, ON SAMANDAG        BEACH, TURKEY",2013,"Sonmez, B and Ozdilek, ST and Sonmez, Bektas and Ozdilek, Sukran Talcm",r=0.78,0.78,Testudines,chelonia,mydas,Chelonia_mydas,10,29.9,25.4,34.8,1.3,36.103116,35.932364,
12,12,"Influence of sand grain size and nest microenvironment on incubation        success, hatchling morphology and locomotion performance of green        turtles (Chelonia mydas) at the Chagar Hutang Turtle Sanctuary, Redang        Island, Malaysia",2018,"Stewart, TA and Booth, DT and Rusli, MU and Stewart, Taylor A. and Booth, David T. and Rusli, Mohd Uzair",Emailed: r2= 0.0699,0.264386081,Testudines,chelonia,mydas,Chelonia_mydas,30,31.1,30.6,31.9,0.2,5.812602,103.008604,
13,13,Depth of the drying front and temperature affect emergence of        leatherback turtle hatchlings from the nest,2018,"Swiggs, J and Paladino, FV and Spotila, JR and Tomillo, PS and Swiggs, Jennifer and Paladino, Frank V. and Spotila, James R. and Tomillo, Pilar Santidrian",Year 08/09: R2: 0.331 negative,-0.575325995,Testudines,Dermochelys ,coriacea,Dermochelys_coriacea,243,31,30.6,31.6,0.7,10.328299,-85.844169,
14,14,Analysis of the nest environment of tuatara Sphenodon punctatus,1996,"Thompson, MB and Packard, GC and Packard, MJ and Rose, B and Thompson, MB and Packard, GC and Packard, MJ and Rose, B",X2=2.69 DF= 1,-0.641482658,Rhynchocephalia,Sphenodon,punctatus,Sphenodon_punctatus,20,18.2,16.3,19.9,0.89,-9.5069444,143.545,
15,15,No evidence of fine scale thermal adaptation in green turtles,2019,"Tilley, D and Ball, S and Ellick, J and Godley, BJ and Weber, N and Weber, SB and Broderick, AC and Tilley, Dominic and Ball, Samantha and Ellick, Jacqui and Godley, Brendan J. and Weber, Nicola and Weber, Sam B. and Broderick, Annette C.","χ2(1): 4.92, negative",-0.435006631,Testudines,chelonia,mydas,Chelonia_mydas,26,31,,,0.6,-7.916667,-14.342039,
16,16,"Are thermal barriers ""higher"" in deep sea turtle nests?",2017,"Tomillo, PS and Fonseca, L and Paladino, FV and Spotila, JR and Oro, D and Tomillo, Pilar Santidrian and Fonseca, Luis and Paladino, Frank V. and Spotila, James R. and Oro, Daniel",Olive Ridley R2 = -0.43,-0.655743852,Testudines,lepidochelys,olivacea,Lepidochelys_olivacea,118,32.4,,,2.17,10.853727,-85.836032,
17,16,"Are thermal barriers ""higher"" in deep sea turtle nests?",2017,"Tomillo, PS and Fonseca, L and Paladino, FV and Spotila, JR and Oro, D and Tomillo, Pilar Santidrian and Fonseca, Luis and Paladino, Frank V. and Spotila, James R. and Oro, Daniel",Green: -0.22,-0.469041576,Testudines,chelonia,mydas,Chelonia_mydas,78,31.1,,,1.34,10.675315,-85.653049,
18,16,"Are thermal barriers ""higher"" in deep sea turtle nests?",2017,"Tomillo, PS and Fonseca, L and Paladino, FV and Spotila, JR and Oro, D and Tomillo, Pilar Santidrian and Fonseca, Luis and Paladino, Frank V. and Spotila, James R. and Oro, Daniel",Leatherback: -0.25,-0.5,Testudines,Dermochelys ,coriacea,Dermochelys_coriacea,24,31,,32,,10.330118,-85.845859,
19,17,Influence of emergence success on the annual reproductive output of        leatherback turtles,2009,"Tomillo, PS and Suss, JS and Wallace, BP and Magrini, KD and Blanco, G and Paladino, FV and Spotila, JR and Tomillo, Pilar Santidrian and Suss, Jack S. and Wallace, Bryan P. and Magrini, Kimberly D. and Blanco, Gabriela and Paladino, Frank V. and Spotila, James R.",F=34.915,-0.4455,Testudines,Dermochelys ,coriacea,Dermochelys_coriacea,143,,,,,10.334,-85.848,
20,18,"Hatch rates of loggerhead turtles and physical characteristics of the        beach at Fethiye, Turkey",2003,"Turkozan, O and Ilgaz, C and Taskavak, E and Ozdemir, A and Turkozan, O and Ilgaz, C and Taskavak, E and Ozdemir, A",r2=0.0004 negative,-0.02,Testudines,caretta,caretta,Caretta_caretta,19,30.48,28.4,31.9,0.25,36.638674,29.121448,
21,19,"Nest site selection and embryonic survival in four-toed salamanders,        Hemidactylium scutatum (Caudata : Plethodontidae)",2008,"Wahl, GW and Harris, RN and Nelms, T and Wahl, George W., III and Harris, Reid N. and Nelms, Tracie",,-0.314,Urodela,Hemidactylium,scutatum,Hemidactylium_scutatum,66,,,,,38.466,-79.2089,
22,20,Fine-scale thermal adaptation in a green turtle nesting population,2012,"Weber, SB and Broderick, AC and Groothuis, TGG and Ellick, J and Godley, BJ and Blount, JD and Weber, Sam B. and Broderick, Annette C. and Groothuis, Ton G. G. and Ellick, Jacqui and Godley, Brendan J. and Blount, Jonathan D.","F1,58 = 56.2",-0.701512002,Testudines,chelonia,mydas,Chelonia_mydas,58,32.4,31.5,33.6,0.1,-7.923542,-14.407615,
23,21,"Sun exposure, nest temperature and loggerhead turtle hatchlings:        Implications for beach shading management strategies at sea turtle        rookeries",2014,"Wood, A and Booth, DT and Limpus, CJ and Wood, Apanie and Booth, David T. and Limpus, Colin J.",emailed raw data: negative,-0.28,Testudines,caretta,caretta,Caretta_caretta,30,30.5,,,0.1,-24.666,152.45,emailed raw data
24,22,Incubation temperature in the wild influences hatchling phenotype of two        freshwater turtle species,2014,"Riley, JL and Freedberg, S and Litzgus, JD and Riley, Julia L. and Freedberg, Steven and Litzgus, Jacqueline D.",R2=0.046,0.214476106,Testudines,chrysemys ,picta,Chrysemys_picta,20,22.81,19.55,24.7,0.29,45.58333,-78.5,Julia sent spreadsheets
25,22,Incubation temperature in the wild influences hatchling phenotype of two        freshwater turtle species,2014,"Riley, JL and Freedberg, S and Litzgus, JD and Riley, Julia L. and Freedberg, Steven and Litzgus, Jacqueline D.",R2=0.018,0.134164079,Testudines,chelydra,serpentina,Chelydra_serpentina,47,23.21,20.83,24.94,0.16,45.58333,-78.5,Julia sent spreadsheets
